leak_event_id,start,end,controlled_leak_flow_m3h
TEST_01,2023-09-25 12:15:00,2023-09-25 12:28:00,28.8
TEST_02,2023-09-25 12:36:00,2023-09-25 12:51:00,7.2
TEST_03,2023-09-25 13:04:00,2023-09-25 13:36:00,1.08
TEST_04,2023-09-25 14:00:00,2023-09-25 14:13:00,28.8
TEST_05,2023-09-25 14:20:00,2023-09-25 14:38:00,3.2
TEST_06,2023-09-25 14:49:00,2023-09-25 15:19:00,0.78
TEST_07,2023-09-25 15:51:00,2023-09-25 16:01:00,28.8
TEST_08,2023-09-25 16:13:00,2023-09-25 16:28:00,3.0
TEST_09,2023-09-25 16:41:00,2023-09-25 17:11:00,0.7
TEST_10,2023-09-25 21:12:00,2023-09-25 21:23:00,29.2
TEST_11,2023-09-25 21:36:00,2023-09-25 21:50:00,3.02
TEST_12,2023-09-25 22:01:00,2023-09-25 22:31:00,0.75
TEST_13,2023-09-25 23:02:00,2023-09-25 23:11:00,27.4
TEST_14,2023-09-25 23:24:00,2023-09-25 23:39:00,3.1
TEST_15,2023-09-25 23:54:00,2023-09-26 00:24:00,0.7
TEST_16,2023-09-26 12:08:00,2023-09-26 12:18:00,28.9
TEST_17,2023-09-26 12:32:00,2023-09-26 12:47:00,3.0
TEST_18,2023-09-26 12:58:00,2023-09-26 13:28:00,0.72
TEST_19,2023-09-26 13:52:00,2023-09-26 14:03:00,29.5
TEST_20,2023-09-26 14:15:00,2023-09-26 14:30:00,3.0
TEST_21,2023-09-26 14:42:00,2023-09-26 15:12:00,0.71
